num,batch,strain,group,rate
1,2nd,4F10,1min,0.496286293
2,2nd,4F10,1min,0.236326806
3,2nd,4F10,1min,0.192437542
4,2nd,4F10,1min,0.63470628
5,2nd,4F10,1min,0.351114112
6,2nd,4F10,5min,0.401755571
7,2nd,4F10,5min,0.28021607
8,2nd,4F10,5min,0.108035111
9,2nd,4F10,5min,0.594193113
10,2nd,4F10,5min,0.435516543
11,2nd,ocd_4F10,1min,0.735003296
12,2nd,ocd_4F10,1min,0.145023072
13,2nd,ocd_4F10,1min,0.131839156
14,2nd,ocd_4F10,1min,0.095583388
15,2nd,ocd_4F10,1min,0.323005933
16,2nd,ocd_4F10,5min,0.323005933
17,2nd,ocd_4F10,5min,0.032959789
18,2nd,ocd_4F10,5min,0.227422544
19,2nd,ocd_4F10,5min,0.187870798
20,2nd,ocd_4F10,5min,0.438365194
21,1st,4F10,1min,0.647421525
22,1st,4F10,1min,0.617152466
23,1st,4F10,1min,0.615470852
24,1st,4F10,5min,0.285874439
25,1st,4F10,5min,0.369955157
26,1st,4F10,5min,0.376681614
27,1st,ocd_4F10,1min,0.746268657
28,1st,ocd_4F10,1min,0.835820896
29,1st,ocd_4F10,1min,0.21641791
30,1st,ocd_4F10,5min,0.089552239
31,1st,ocd_4F10,5min,0.134328358
32,1st,ocd_4F10,5min,0.156716418