num,group,inoculation,genotype,replication,shoot_weight,primary_root_length,lateral_roots
4,RM,buffer,Col_0,4,53.1,7.566,16
5,RM,buffer,Col_0,5,44.1,7.63,15
1,RM,buffer,Col_0,1,60.4,8.021,18
3,RM,buffer,Col_0,3,67.4,8.025,21
2,RM,buffer,Col_0,2,38.7,9.034,21
7,RM,buffer,gl2,2,55.3,7.9,20
6,RM,buffer,gl2,1,66.3,8.336,20
10,RM,buffer,gl2,5,65.9,8.395,22
8,RM,buffer,gl2,3,57.8,8.451,15
9,RM,buffer,gl2,4,62.1,8.586,22
15,RM,buffer,rsl2rsl4,5,34.9,7.444,21
14,RM,buffer,rsl2rsl4,4,38.3,7.516,19
12,RM,buffer,rsl2rsl4,2,34.2,7.913,15
13,RM,buffer,rsl2rsl4,3,46.8,8.04,15
11,RM,buffer,rsl2rsl4,1,32.8,8.293,16